formula,A,B,B_prime,fitness,predicted_band_gap,predicted_ehull,predicted_formation_energy,charge_neutral,tolerance_factor_t,octahedral_factor_mu,passes_geometry_screen
Sr2VNiO6,Sr,V,Ni,0.0210437496825401,1.4789562503174598,0.0135448869317143,-2.8187431978452677,True,0.9115310165058811,0.5071428571428571,True
Sr2TaNiO6,Sr,Ta,Ni,0.0294232258874451,1.5294232258874452,0.0054067274123588,-2.870783057867653,True,0.8904307614941708,0.5428571428571429,True
Sr2NbTiO6,Sr,Nb,Ti,0.0363144889682542,1.5363144889682545,0.010315120119112,-3.0941762357397966,True,0.8894013617699003,0.5446428571428571,True
Ca2NbTiO6,Ca,Nb,Ti,0.0530673349206338,1.553067334920634,0.0177782395201908,-3.098696969400044,True,0.830543918711598,0.5446428571428571,True
Sr2CrVO6,Sr,Cr,V,0.0566017174963928,1.5566017174963929,0.0110188787041939,-3.03554386699687,True,,,False
Ba2NbTiO6,Ba,Nb,Ti,0.087581691428572,1.412418308571428,0.0104118960579308,-3.0569400401615168,True,0.9449889468805189,0.5446428571428571,True
K2VCrO6,K,V,Cr,0.1102570223015879,1.610257022301588,0.0215773574269107,-2.948455878091512,True,,,False
Sr2NbVO6,Sr,Nb,V,0.1251187979365089,1.625118797936509,0.0087604897365116,-3.0785436784067515,True,0.9029720398250747,0.5214285714285715,True
Rb2CrVO6,Rb,Cr,V,0.1265940816666664,1.6265940816666664,0.010521810373766,-2.95009299354211,True,,,False
Ca2CrMoO6,Ca,Cr,Mo,0.1310630600144295,1.3689369399855704,0.0315692144416732,-2.6525225419001184,True,,,False
Y2VNiO6,Y,V,Ni,0.145040252460318,1.354959747539682,0.0192213109056652,-2.783291526003968,True,0.8176969412773346,0.5071428571428571,True
Y2TiCrO6,Y,Ti,Cr,0.154980893888889,1.345019106111111,0.0241189057663004,-3.171634067504744,True,,,False
Sr2NbNiO6,Sr,Nb,Ni,0.161411085714284,1.661411085714284,0.0108154845828139,-2.7804523083981367,True,0.8904307614941708,0.5428571428571429,True
Sr2MoHfO6,Sr,Mo,Hf,0.1809452273015865,1.3190547726984134,0.0071349378273667,-3.1225232174052167,True,0.8782330798298672,0.5642857142857144,True
Ca2NbVO6,Ca,Nb,V,0.1826542003968256,1.6826542003968257,0.009934016834493,-3.0785688443238235,True,0.8432165371895919,0.5214285714285715,True
Ca2VMnO6,Ca,V,Mn,0.1883531123520934,1.3116468876479066,0.015809576294163,-3.042689998805717,True,,,False
Na2MoZrO6,Na,Mo,Zr,0.1963611329365049,1.696361132936505,0.027943536642595,-2.9981755477716585,True,0.8246894577847661,0.5678571428571428,True
Ca2CrMnO6,Ca,Cr,Mn,0.2114956525901885,1.2885043474098117,0.018466288654953,-2.879919687865154,True,,,False
Sr2FeVO6,Sr,Fe,V,0.2246372717460327,1.2753627282539672,0.0125983385087263,-2.963566217264214,True,0.901913455956581,0.5232142857142857,True
Sr2WTiO6,Sr,W,Ti,0.2260828586968595,1.2739171413031405,0.0226319643647625,-2.909400260149872,True,0.8977038248902725,0.5303571428571429,True
Y2VCuO6,Y,V,Cu,0.2285192476190458,1.728519247619046,0.0283920686692884,-2.782359822783334,True,0.7932600211931843,0.5535714285714286,False
Ca2NbNiO6,Ca,Nb,Ni,0.2305621613131301,1.73056216131313,0.0126602196216525,-2.754183445716267,True,0.831505196395292,0.5428571428571429,True
Ba2TaNiO6,Ba,Ta,Ni,0.2365941699206337,1.7365941699206338,0.0253503587913315,-2.8767436601538328,True,0.9460826840875565,0.5428571428571429,True
Sr2CrNiO6,Sr,Cr,Ni,0.2379820349062031,1.7379820349062032,0.012069650993279,-2.652968922478335,True,,,False
Rb2CrMnO6,Rb,Cr,Mn,0.2393955943650787,1.2606044056349213,0.0122927438559914,-2.808413310220041,True,,,False
Cs2CrMnO6,Cs,Cr,Mn,0.2469656503174599,1.25303434968254,0.0107258223861474,-2.8209816708789424,True,,,False
Sr2CuCrO6,Sr,Cu,Cr,0.2602406007142859,1.760240600714286,0.0143633152888993,-2.6383133633502505,True,,,False
Ca2VCoO6,Ca,V,Co,0.2677053613419922,1.2322946386580078,0.0201093575010864,-2.808605562902242,True,0.8491967963185959,0.5107142857142858,True
K2VMoO6,K,V,Mo,0.2889729723015872,1.2110270276984128,0.0156581461267759,-2.9155406735910487,True,0.9808797154701752,0.5035714285714287,True
Y2MnTiO6,Y,Mn,Ti,0.2994079177705637,1.2005920822294365,0.0229496257181407,-3.268759099241592,True,,,False
Ca2MoSnO6,Ca,Mo,Sn,0.3487260205772016,1.8487260205772016,0.024361334958758,-2.5594055818930417,True,0.8238767083549683,0.5571428571428572,True
Ba2WSbO6,Ba,W,Sb,0.3753156866666687,1.8753156866666687,0.0292324448215183,-2.5264189930033933,True,0.9504830686647079,0.5357142857142857,True
Rb2SnMoO6,Rb,Sn,Mo,0.439195102460318,1.939195102460318,0.0117699977278931,-2.324041540278569,True,0.9925443809315758,0.5571428571428572,True
La2HfCuO6,La,Hf,Cu,0.4560859145238098,1.9560859145238096,0.0348079572887378,-3.1673134966594367,True,0.8047250624830975,0.6142857142857143,True
Ca2MoInO6,Ca,Mo,In,0.4585815562914876,1.958581556291488,0.022244494275504,-2.6108986476280345,True,0.8036023374558526,0.5964285714285714,True
Y2HfNiO6,Y,Hf,Ni,0.4648034215873011,1.9648034215873007,0.0214359509939789,-3.159680798369449,True,0.7860321394511053,0.5678571428571428,False
